id,year,make,model,trim,vin,is_new,exterior_color,interior_color,engine_cylinders,drive_train,transmission,transmission_desc,epa_city,epa_highway,fuel_type,selling_price,mileage,description,features,comments
1,2023,Chevrolet,Silverado 1500,"2WD Crew Cab 147"" LT",3GCPACEK6PG263459,True,Black,,4.0,Rear Wheel Drive,Automatic,,19.0,22.0,Gasoline Fuel,52235.0,2.0,,,
2,2023,Chevrolet,Silverado 1500,"2WD Crew Cab 157"" LT",3GCPACEK7PG255354,True,Summit White,,4.0,Rear Wheel Drive,Automatic,,19.0,22.0,Gasoline Fuel,51580.0,2.0,,,
3,2023,Chevrolet,Silverado 1500,"4WD Crew Cab 147"" LT Trail Boss",3GCPDFEK3PG267607,True,Summit White,,4.0,Four Wheel Drive,Automatic,,18.0,21.0,Gasoline Fuel,60280.0,2.0,,,
4,2023,Chevrolet,Silverado 1500,"4WD Crew Cab 147"" LT Trail Boss",3GCPDFEK8PG267604,True,Summit White,,4.0,Four Wheel Drive,Automatic,,18.0,21.0,Gasoline Fuel,60280.0,2.0,,,
5,2023,Chevrolet,Blazer,FWD 4dr Premier,3GNKBFR40PS196916,True,Sterling Gray Metallic,Jet Black,4.0,Front Wheel Drive,Automatic,9-Speed A/T,22.0,29.0,Gasoline Fuel,48915.0,2.0,,,
6,2023,Chevrolet,Blazer,FWD 4dr Premier,3GNKBFR44PS218996,True,Sterling Gray Metallic,Jet Black,4.0,Front Wheel Drive,Automatic,9-Speed A/T,22.0,29.0,Gasoline Fuel,49060.0,2.0,,,
7,2018,Chevrolet,Malibu,4dr Sdn LT w/1LT,1G1ZD5ST4JF145243,False,Mosaic Black Metallic,Jet Black,4.0,Front Wheel Drive,Automatic,Automatic,27.0,36.0,Gasoline Fuel,18995.0,82757.0,"Clean CARFAX. Mosaic Black Metallic 2018 Chevrolet Malibu LT FWD 6-Speed Automatic 1.5L DOHC **CARFAX 1 OWNER **, **NAVIGATION / GPS / NAVI **, **CLEAN CARFAX**, Jet Black Cloth.27/36 City/Highway MPGAwards:* 2018 KBB.com 10 Best Sedans Under $25,000 * 2018 KBB.com 10 Most Awarded BrandsIf you have any questions or would like some general information about financing or would like a price quote on a new or used vehicle please call.",,
8,2020,Chevrolet,Bolt EV,5dr Wgn Premier,1G1FZ6S05L4119040,False,Summit White,Dark Galvanized/Sky Cool Gray,,Front Wheel Drive,,Automatic,0.0,0.0,Electric Fuel System,27525.0,7767.0,"CARFAX One-Owner. Summit White 2020 Chevrolet Bolt EV Premier FWD 1-Speed Automatic Electric Drive Unit 2 USB Charging-Only Ports For Rear Passengers, Automatic Emergency Braking, Automatic temperature control, Bose Premium 7-Speaker Audio System, Driver Confidence II Package, Following Distance Indicator, Forward Collision Alert, Front Pedestrian Braking, Infotainment Package, IntelliBeam Automatic On/Off High Beam, Lane Keep Assist w/Lane Departure Warning, Preferred Equipment Group 2LZ, Premium audio system: Chevrolet MyLink, Steering wheel mounted audio controls, Wheels: 17 Ultra-Bright Machined Aluminum, Wireless Charging For Devices.Recent Arrival! 127/108 City/Highway MPGIf you have any questions or would like some general information about financing or would like a price quote on a new or used vehicle please call.",,
9,2020,Chevrolet,Trax,FWD 4dr LS,KL7CJKSB0LB354322,False,Stone Gray Metallic,Jet Black,4.0,Front Wheel Drive,Automatic,Automatic,26.0,31.0,Gasoline Fuel,19817.0,29517.0,"CARFAX One-Owner. Clean CARFAX. Stone Gray Metallic 2020 Chevrolet Trax LS FWD 6-Speed Automatic ECOTEC 1.4L I4 SMPI DOHC Turbocharged VVT Factory Certified, 16 Aluminum Wheels, Deep-Tinted Rear Glass Windows & Liftgate, Electronic Automatic Cruise Control, Exterior Parking Camera Rear, Front & Rear All Weather Floor Mats (LPO), Front & Rear Custom Molded Black Splash Guards (LPO), Preferred Equipment Group 1LS, Premium audio system: Chevrolet MyLink, Protection Package, Steering wheel mounted audio controls, Telescoping steering wheel, Tilt steering wheel, Tint & Cruise Package.26/31 City/Highway MPGIf you have any questions or would like some general information about financing or would like a price quote on a new or used vehicle please call.",,
10,2020,Chevrolet,Traverse,FWD 4dr LT Cloth w/1LT,1GNERGKW1LJ285559,False,Mosaic Black Metallic,Jet Black,6.0,Front Wheel Drive,Automatic,Automatic,18.0,27.0,Gasoline Fuel,30995.0,50744.0,"CARFAX One-Owner. Clean CARFAX. Mosaic Black Metallic 2020 Chevrolet Traverse LT 1LT FWD 9-Speed Automatic 3.6L V6 SIDI VVT **CARFAX 1 OWNER **, **CLEAN CARFAX**, Apple CarPlay/Android Auto, Automatic temperature control, Front dual zone A/C, Preferred Equipment Group 1LT, Steering wheel mounted audio controls, Tilt steering wheel, Trip computer, Wheels: 18 Bright Silver Painted Aluminum.18/27 City/Highway MPGIf you have any questions or would like some general information about financing or would like a price quote on a new or used vehicle please call.",,
